path	sha256	content_class	observed_declaration	normalized_spdx	license_references	module_license_metadata	source_origin	modification_status	patch_ids	redistribution_review_state	copyright_notices
drivers/innogpu/hal_interface.h	f5e5571b18f42b48eb7112582ea89a072a6b3f6b3271b5c8f260cda1553c8990	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright      Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/hal_power.c	b4085094568aa2ab628a4cb3c4ae6a31e8aa8cff68f7d7794c34e405945cf613	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	project-modified	patch-001	blocked-unclassified	-
drivers/innogpu/inno_audio.c	ac3caafabe830fd004361f11b7dfab09d258fa37ebac9ae3a47572900484b058	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innogpu/inno_audio.h	e14cc4a1c555cd04e5827f8dda9347c740092c3dada6fa96dac42e55b31d6403	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innogpu/inno_check.S	4cc0e153d792c2eb01852b366ba32b28e89aa45e6087c0080d5d6e88714e8fca	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_cpumask.c	bb0a5f825d1ec65ef53ba23cf30cbdd4a33b3e0f2ae310022ec6353a1fddaae6	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_cpumask.h	be2bf4f0d2536cc4651c645755437b460404b595e1f02e835540a0d517893742	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_debug.c	4d23da71fe0782cd2ce01e93200d6cfde2d3640de003e659e3a8a8e88148b363	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_debug.h	0e4e258f1e6d7e762f77dd3dafe830ce5cdde3db78a522e556d89ab5a5eb0540	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_dma.c	a1402abac50235707fa8a86c9fa60141d1ed37ccadca0221ab35c194fae3b6c9	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_dma.h	7cb96f6d6d3dce56cd81063349e5bb0791df624041355f734d221ce6a63dd3e7	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_dma_buf.c	ce5891c170c9d28fbc725c0c5c5d7ca441eb3a71526feb33cc96ebd48d51f715	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_dma_buf.h	a9deef3af113b5bab7e998ad8c64a76b027c6eca8eaa7ec25bb084c3be527285	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
